;Startup Name;Funding Date;Founding Date;City;Industry/Vertical;Sub-Vertical;Founders;Investors;Amount(in USD);Investment Stage
58;Pratilipi;01/05/2020;2014;Bangalore;Media;A digital platform that connects readers and writers in various languages;Ranjeet Pratap Singh, Sankaranarayanan Devarajan, Sahradayi Modi, Rahul Ranjan, Prashant Gupta;Tencent;$9,400,000;Series C
59;Biryani By Kilo;01/05/2020;;Delhi;Food;Online paltform to order biryani;Vishal Jindal;Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi;$790,000;Series B
60;Consure Medical;01/05/2020;;Delhi;Healthtech;Novel platform technologies to manage, diagnose, and treat various GI disorders;Nishith Chasmawala, Amit Sharma;Accel Partners, Jungle Ventures;$480,000;
61;Servify;01/05/2020;;Mumbai;;It is a technology company which serves as a platform for brands to offer end-to-end solutions to their users;Sreevathsa Prabhakar;Barkawi;$250,000;
62;Tessol;01/05/2020;;Mumbai;Logistics;It provides end to end cold chain logistics solutions;Rajat Gupta;1Funds Domestic Scheme;$160,000;Series A
63;Remedo;01/05/2020;;Noida;Healthtech;It helps doctors engage with patients, improve patient experience;Harsh Bansal;RiverRock Ventures;Undisclosed;Pre series A
64;News Reach;01/05/2020;2018;Ahmedabad;Media;It is a platform that digitalises local newspaper publishers, reporters, stringers by aggregating their content;Darshan Shah;Mumbai Angels Network;Undisclosed;
65;RoomSoom;01/05/2020;2016;Noida;Housing;It provides co-living and student rooms;Nitin Agrawal, Garima Agrawal;Mumbai Angels Network;Undisclosed;
66;Pedagogy;01/05/2020;2015;;Edtech;It has a single subscription model that allows users to access books and digital courses.;Archin Shah, Abhilash Sonwane, Ritesh Gandhi;Inflection Point Ventures;$400,000;
67;Classplus;01/05/2020;2008;Delhi;Edtech;It provides mobile-first software for coaching institutes, tuition centres and private tutors;Mukul Rustagi, Bhaswat Agarwal;RTP Global;$8,200,000;Series B
68;Medlife;01/05/2020;2014;Bangalore;Pharmaceutical;It solves inadequacies in the healthcare delivery system through technology;Tushar Kumar, Prashant Singh;Hero Fincorp;$15,500,000;
